id,text
1,幼児期の貴重な時間、親とこどもとたくさんの時間や経験を共にするのは大切だと思う。3歳までは家庭で育てたい。
2,保育園の待機児童はないが、希望する園に入れないことがある。第一希望に入れる仕組みを作ってほしい。
3,子育て支援センターの開放時間が短すぎる。土日も開けてほしい。働いている親は平日行けない。
4,経済的な不安が大きい。子どもの医療費は無料だが、給食費や習い事の費用がかさむ。もう少し補助があると助かる。
5,夫の育休取得を会社に相談したが、前例がないと断られた。制度はあっても使えない現実がある。
6,塩尻市は自然が豊かで子育てしやすい。えんぱーくや子供広場など遊び場が充実していてありがたい。
7,小学校の放課後児童クラブの定員がいっぱいで入れなかった。共働きなのにどうすればいいのか。
8,産後うつになりかけたとき、相談できる場所がわからなかった。もっと情報発信してほしい。
9,病児保育がもっと充実してほしい。子どもが熱を出すたびに仕事を休むのは限界がある。
10,転入してきたばかりで知り合いがいない。ママ友を作る機会がほしい。子育てサロンの情報が見つけにくい。
11,保育士の数が足りていないと感じる。先生方が忙しそうで、子どもに十分目が行き届いているか不安。
12,3人目を産みたいが、経済的に厳しい。多子世帯への支援をもっと手厚くしてほしい。
13,子育ては楽しいが、自分の時間が全くない。一時保育をもっと気軽に利用できるようにしてほしい。
14,父親の育児参加が増えてきているのを実感する。父親向けの子育て講座があるともっといい。
15,発達に不安がある子どもの相談窓口が少ない。専門家に早期に相談できる体制を整えてほしい。
16,塩尻駅周辺に子連れで入りやすい飲食店が少ない。授乳室やおむつ替えスペースも不足している。
17,保育園と幼稚園の違いがわかりにくい。認定こども園も含めて、わかりやすい比較情報がほしい。
18,子どもの遊び場は充実しているが、雨の日に遊べる屋内施設がもっとほしい。冬場は特に困る。
19,市の子育て情報がホームページに散らばっていて見つけにくい。LINEやアプリで一元的に届けてほしい。
20,共働きで忙しく子育てに余裕がない。祖父母が近くにいない家庭への支援がもっと必要だと思う。
